artistName,trackName,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,genres
Ludovico Einaudi,Experience,0,1532,0,0,3970,0,0,0,1237,0,0,1045,compositional ambient
Ludovico Einaudi,Una Mattina,0,1927,0,0,0,0,4410,0,0,0,1390,0,compositional ambient
Ludwig Goransson,"Eyes, Lungs, Pancreas",1792,0,0,0,0,0,0,0,0,0,0,0,None
Ludwig Goransson,"Run, Eddie, Run",1066,0,0,0,0,0,1750,0,0,0,0,0,None
Ludwig Goransson,Self Defense,52629,0,0,0,0,5040,0,0,0,0,1301,0,None
Ludwig Goransson,Sirens,0,0,0,0,0,596924,188291,0,0,0,236350,0,nordic soundtrack
Luis Bacalov,Django,0,4458,0,0,175991,0,0,0,853,0,0,0,classic soundtrack
Luminatrix,All the Pretty Horses,0,0,0,0,0,0,0,0,0,0,79066,0,None
Luna Li,Opal Angel,0,213,156037,79940,0,0,0,0,0,0,0,0,canadian garage rock
Luther,Please take me home,0,0,0,0,0,0,0,0,2005,0,0,0,None
Lvbel C5,10 NUMARA,0,905,0,0,0,1919,6128,2283,14211,682,0,0,None
Lvbel C5,200 MILYAR,96617,80897,126638,60700,69816,0,0,2298,78283,1021,5055,4287,None
Lvbel C5,Aynen Oyle,859,1137,3039,1439,64191,0,1532,0,307008,9834,23116,4287,None
Lvbel C5,BABA,0,0,0,0,0,0,471308,0,862334,144744,103009,85203,None
Lvbel C5,BEMBEYAZ KEFENDEN,0,0,0,0,122671,0,0,0,0,0,0,0,None
Lvbel C5,DACIA,91749,255950,126610,17856,0,0,50497,3160,277242,5030,1030,9137,None
Lvbel C5,E E E,18153,12586,0,0,0,55316,0,0,22457,0,27001,1322,None
Lvbel C5,GAZ PEDAL,0,0,145015,241277,0,0,140300,0,96502,68521,0,0,None
Lvbel C5,GELMEZSEN GELME,7127,180325,93015,0,67785,1091,1021,810,17604,981,0,0,None
Lvbel C5,GONDER GELSIN,75487,8183,0,58406,8536,0,126959,36632,21934,4860,72590,1514,None
Lvbel C5,GORUN NE HALINIZ VARSA,61904,207352,9231,67033,0,6336,75797,1747,209197,0,48125,1536,None
Lvbel C5,KONUSMA GAZA BAS,0,0,0,0,0,61857,0,0,0,0,0,0,None
Lvbel C5,LETS GO PARTY,0,0,0,0,0,0,0,0,4760,2730,0,0,None
Lvbel C5,MOVIE,0,117598,179377,155598,76605,85029,766,10309,133119,47633,43432,3262,None
Lvbel C5,NKBI X YAPAMAM - Remix,451098,8359,0,80784,1091,342662,243630,1530,729600,213,673,3784,None
Lvbel C5,YAPAMAM,0,0,0,0,0,0,0,0,2786,1344,9780,0,None
Lvbel C5,Zor,0,0,124557,0,0,0,124557,0,0,0,0,0,None
Lvbel C5,dans,0,11597,1184,0,0,139300,56192,41617,58655,0,3726,0,None
Lvbel C5,olsun,0,0,113824,0,0,0,10367,0,0,124173,0,0,None
Lvbel C5,ralli,2922,1253,25405,1346,139943,8663,4619,0,173381,1173,2040,1493,None
Lvbel C5,INATLA,210391,351811,219090,129354,16907,405,0,0,628830,87140,0,5119,None
Lvbel C5,ISTANBUL,0,0,0,0,0,1633,8358,0,143596,0,139731,917,None
Lvbel C5,IZLEDI MAHALLE,0,0,0,0,0,0,103159,146668,349985,62591,163536,68179,None
Lykke Li,I Follow Rivers,30670,10309,0,1323,0,0,0,0,0,0,0,3711,electropop
Lykke Li,I Follow Rivers - The Magician Remix,565919,0,0,0,0,0,0,0,0,0,0,3605,electropop
Lykke Li,Little Bit (feat. Autoerotique) - Remix,0,0,0,0,0,0,0,234700,0,0,0,0,None
Lyn Lapid,In My Mind,0,162794,0,0,0,0,0,0,0,0,0,0,gen z singer-songwriter
Lynyrd Skynyrd,Free Bird,0,0,125430,0,0,0,0,17862,1237,0,0,0,album rock
Lynyrd Skynyrd,Simple Man,0,0,0,0,0,0,0,0,0,34089,0,0,None
Lythx,Aklina Ben Gelicem,0,0,0,0,0,0,0,0,17298,0,0,0,None
LOREN,ALL MY FRIENDS ARE TURNING BLUE,0,0,0,0,17643,0,0,0,0,0,0,0,None
M Lisa,ELLERIM BOS,124000,0,0,0,0,0,0,0,0,0,128360,2133,None
M83,Solitude - Felsmann + Tiley Reinterpretation,0,4434,0,0,143410,0,212394,0,0,0,0,0,french shoegaze
MAFFYN,Kielflosse,0,0,0,0,0,0,159527,0,0,0,0,0,None
MAFFYN,Kompass,0,0,0,0,0,0,147414,0,0,0,0,0,None
MAFFYN,Palstek,0,0,0,0,0,0,184000,0,0,0,0,0,None
MAMAMOO,AYA,0,0,0,1114,109068,0,0,0,0,0,0,4534,None
MAMAMOO,Destiny,35080,0,0,1160,2670,0,4202,0,8127,0,0,1280,None
MAMAMOO,Dingga,0,0,0,1439,0,0,0,0,0,0,0,0,None
MAMAMOO,Double Trouble Couple,0,0,0,1718,0,0,0,0,2517,0,0,0,None
MAMAMOO,HIP,0,0,0,2924,835,0,0,0,195306,0,0,59440,None
MAMAMOO,gogobebe,0,0,0,2739,0,0,0,0,0,0,0,1080,None
MAMAMOO,jaggu deo bogosipeun saram - Instrumental,5830,1439,0,0,1439,0,0,0,0,0,0,790,None
MARINA,Bubblegum Bitch,0,0,0,0,0,21,0,0,0,0,0,0,None
MARINA,Primadonna,0,0,0,0,0,15417,0,0,0,0,0,0,None
MAVI,Doves,0,155742,0,0,0,0,0,0,0,0,0,0,None
MAVI,"Love, of Money",0,64765,0,64765,0,0,0,0,0,0,0,0,None
MAVI,Spoiled Brat,0,0,0,7500,0,0,0,0,0,0,0,0,None
MAW,HOTEL,0,0,0,0,0,156170,0,44884,234391,0,42593,232557,None
MAW,Lanet Olsun,131908,0,0,0,0,0,0,0,0,0,0,0,None
